ID	KOREA	JAPAN	ENGLISH	THAI
end of skip				
1	HP	???	HP	HP ?????????
2	Mana	??	Mana	MP ?????????
3	Stamina	????	Stamina	Stamina ?????????????
4	Poder Eletrico	?????	Poder Eletrico	Poder Eletrico ?????????
5	movimento socializacao	?????	movimento socializacao	??????
6	Modo de Paz /Modo de Ataque	??/ ?????	Modo De Paz / Modo de Ataque	???? ?????/??????
7	Aumentar /diminuir o tamanho da janela de conversa 	????????/??	Aumenta /diminuir o tamanho da janela de conversa 	????/??? ?????????????
8	Digite seu ID	??????????????	Digite seu ID	???? ID
9	Digite sua senha	??????????????	Digite sua senha	???? senha
10	Seu ID pode ter no maximo 20 Caracteres	??????8????20??????	Seu ID pode ter no maximo 20 Caracteres	??????????????????? 20 ???
11	Sua senha pode ter no maximo 20 caracteres	??????8????20??????	Sua senha pode ter no maximo 20 caracteres	??????????????????????? 20 ???
13	A conexao com servidor falhou. Tente conectar novamente	????????????????????????????	A conexao com servidor falhou. Tente conectar novamente	???????????? servidor ??????? ???????????????
14	Nao foi possivel se conectar ao servidor	?????????????	Nao foi possivel se conectar ao servidor	????????????????????? Server ???
15	Sua conta foi resgistrada com sucesso	????????????????	Sua conta foi registrada com Sucesso	??????????????????????
16	O servidor expirou. Por favor, va ate a pagina inicial para criar uma conta	???????????????????????????????????	O servidor expirou. Por favor, va ate a pagina inicial para criar uma conta	???????????????????. ????????????????????????????
17	Este ID Existe	????????????????	Este ID Existe	???????????????????????
18	Verifique se voce preencheu os dados necessarias	???????????????	Verifique se voce preencheu os dados necessarias	?????????????????????????????????????????????????
19	Entre com seu nome	????????????	Entre com seu nome	???? ????
20	Nao deixe nenhum espaco entre o seu nome	??????????????	Nao deixe nenhum espaco entre o seu nome	???????????????????????????????????????
21	Nao deixe espacos entre os IDs	?????????????????	Nao deixe espacos entre os IDs	???????????????????????????????????????
22	Seu ID deve ser inferior a 20 caracteres???????????20??????	Seu ID deve ser inferior a 20 caracteres	  ??????????????????? 20 ????????
23	Voce nao pode usar '%s' Entre com se ID	"??????""%s""??????????"	Voce nao pode usar '%s' Entre com seu ID	????????????????????? '%s' ?????????????
24	Voce nao pode usar '%s' Entre com o Nome do Seu Personagem "???""%s""??????????" Voce nao pode usar '%s' Entre com o Nome do Seu Personagem	????????????????????? '%s' ??????????????????????
25	Entre com sua senha	??????????????	Entre com sua senha	???? Senha
26	Sua senha deve ter menos de 20 caracteres	???????????20??????	Sua senha deve ter menos de 20 caracteres	??????????????????????? 20 ????????
27	Nao use Letras Coreanas em sua senha	????????????????	Nao Use letras Coreanas em sua senha	???????????????????????????????
28	Nao deixe espaco entre sua senha	?????????????????	Nao deixe espaco entre sua senha	????????????????????????????????????
29	Entre com seu endereco de Email	   E????????????????	Entre com endereco do seu Email	???? Email
30	Nao deixe espaco entre o seu endereco de Email	E???????????????	Nao deixe espaco entre o endereco do seu email	????????????????????????????? Email ??????
31	Entre com uma pergunta, que sera usada para recuperar sua senha	???????????????????????	Entre com uma pergunta, que sera usada para recuperar sua senha	????????????????????????????? ?????????????????????????
32	Entre com a resposta para sua pergunta, que sera usada para recuperar seu email	???????????????????????	Entre com a resposta para sua pergunta, que sera usada para recuperar seu email		???????????????????????????? ????????????????
33	Entre com seu codigo de seguranca PIN	????????????????	Entre com seu codigo de seguranca PIN	??????????????????????
34	Nao deixe espaco em seu codigo de seguranca PIN	???????????????????	Nao deixe espaco em seu codigo de seguranca PIN	???????????????????????????????? ????????????????
35	Codigo de seguranca PIN errado	?????????????????	Codigo de seguranca errado PIN	????????????????????????
36	Seu Codigo de seguranca deve conter apenas numeros?????????????????????	Seu Codigo de seguranca deve conter apenas numeros	?????????????????????????????????????????
37	Deseja Realmente deletar seu personagem?. Entre com sua senha	???????????????????????????????	Deseja Realmente deletar seu personagem?. Entre com sua senha	???????????????????????? ???????????????????
38	Senha incorreta. Digite novamente
39	Bulkan	????	Bulkan	Bulkan
40	Kailipton	??????	Kailipton	Kailipton
41	Aidia	?????	Aidia	Aidia
42	Humano	?????	Humano	Humano
43	Masculino	??	Masculino	Masculino
44	Femenino	??	Femenino	Femenino
