a_index	a_enable	a_name	a_name	a_name	a_name
end of skip
3	0	White Bra	White Bra	White Bra	White Bra
4	0	White Underwear	White Underwear	White Underwear	White Underwear
5	0	Xeno Mask	Xeno Mask	Xeno Mask	Xeno Mask
6	1	Xeno Helmet	Xeno Helmet	Xeno Helmet	Xeno Helmet
7	1	Brince Helmet	Brince Helmet	Brince Helmet	Brince Helmet
8	0	Iron Mask	Iron Mask	Iron Mask	Iron Mask
9	1	Iron Helmet	Iron Helmet	Iron Helmet	Iron Helmet
10	1	Skull Helmet	Skull Helmet	Skull Helmet	Skull Helmet
11	0	Chain Helmet	Chain Helmet	Chain Helmet	Chain Helmet
12	1	Hell Helmet	Hell Helmet	Hell Helmet	Hell Helmet
13	0	Golden Mask	Golden Mask	Golden Mask	Golden Mask
14	1	Golden Helmet	Golden Helmet	Golden Helmet	Golden Helmet
15	1	Xeno Armor	Xeno Armor	Xeno Armor	Xeno Armor
16	1	Brince Armor	Brince Armor	Brince Armor	Brince Armor
17	1	Iron Armor	Iron Armor	Iron Armor	Iron Armor
18	0	Breast Plate	Breast Plate	Breast Plate	Breast Plate
19	0	Heavy Armor	Heavy Armor	Heavy Armor	Heavy Armor
20	0	Chain Mail	Chain Mail	Chain Mail	Chain Mail
21	1	Bone Armor	Bone Armor	Bone Armor	Bone Armor
22	1	Hell Armor	Hell Armor	Hell Armor	Hell Armor
23	1	Cape of Red Dragon	Cape of Red Dragon	Cape of Red Dragon	Cape of Red Dragon
24	1	Cape of Yellow Dragon	Cape of Yellow Dragon	Cape of Yellow Dragon	Cape of Yellow Dragon
25	0	Wiseman Robe	Wiseman Robe	Wiseman Robe	Wiseman Robe
26	0	Red Cloak	Red Cloak	Red Cloak	Red Cloak
27	1	Iron Boots	Iron Boots	Iron Boots	Iron Boots
28	0	Battle Shoes	Battle Shoes	Battle Shoes	Battle Shoes
29	0	Wing Boots	Wing Boots	Wing Boots	Wing Boots
30	0	Jet Boots	Jet Boots	Jet Boots	Jet Boots
31	0	Wooden Shield	Wooden Shield	Wooden Shield	Wooden Shield
32	0	Xeno Shield	Xeno Shield	Xeno Shield	Xeno Shield
33	0	Brince Shield	Brince Shield	Brince Shield	Brince Shield
34	1	Iron Shield	Iron Shield	Iron Shield	Iron Shield
35	0	Chain Shield	Chain Shield	Chain Shield	Chain Shield
36	0	Skull Shield	Skull Shield	Skull Shield	Skull Shield
37	1	Long Sword	Long Sword	Long Sword	Long Sword
38	0	Gladius	Gladius	Gladius	Gladius
39	0	Bastard Sword	Bastard Sword	Bastard Sword	Bastard Sword
40	0	Broad Sword	Broad Sword	Broad Sword	Broad Sword
41	0	Claymore	Claymore	Claymore	Claymore
42	0	Kiliji	Kiliji	Kiliji	Kiliji
43	0	Kola	Kola	Kola	Kola
44	0	Khopis	Khopis	Khopis	Khopis
45	0	Flaming Sword	Flaming Sword	Flaming Sword	Flaming Sword
46	0	Light Saber	Light Saber	Light Saber	Light Saber
47	0	Crystal Sword	Crystal Sword	Crystal Sword	Crystal Sword
48	1	Stone Axe	Stone Axe	Stone Axe	Stone Axe
49	1	Bulkan Axe	Bulkan Axe	Bulkan Axe	Bulkan Axe
50	0	Crescent Axe	Crescent Axe	Crescent Axe	Crescent Axe
51	1	GM Axe	GM Axe	GM Axe	GM Axe
52	0	Tabard Gin	Tabard Gin	Tabard Gin	Tabard Gin
53	1	GM Staff	GM Staff	GM Staff	GM Staff
54	1	GM Anel	GM Anel	GM Anel	GM Anel
55	1	Air Gun	Air Gun	Air Gun	Air Gun
56	1	GM Rifle	GM Rifle	GM Rifle	GM Rifle
57	1	GM Dual Sword	GM Dual Sword	GM Dual Sword	GM Dual Sword
58	0	Flame Thrower	Flame Thrower	Flame Thrower	Flame Thrower
59	0	Spark Gun	Spark Gun	Spark Gun	Spark Gun
60	1	Blaster Pistol	Blaster Pistol	Blaster Pistol	Blaster Pistol
61	1	Blaster Rifle	Blaster Rifle	Blaster Rifle	Blaster Rifle
62	0	Rocket Launcher	Rocket Launcher	Rocket Launcher	Rocket Launcher
63	0	Grenade Launcher	Grenade Launcher	Grenade Launcher	Grenade Launcher
64	0	Mana Stone	Mana Stone	Mana Stone	Mana Stone
65	0	Xeno Ore	Xeno Ore	Xeno Ore	Xeno Ore
66	0	Iron Ore	Iron Ore	Iron Ore	Iron Ore
67	0	Brince Ore	Brince Ore	Brince Ore	Brince Ore
68	0	Silica Ore	Silica Ore	Silica Ore	Silica Ore
69	0	Germanite	Germanite	Germanite	Germanite
70	0	Rough Oriharcon	Rough Oriharcon	Rough Oriharcon	Rough Oriharcon
